"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(BNB)","Value_OUT(BNB)","CurrentValue @ $477.05/BNB","TxnFee(BNB)","TxnFee(USD)","Historical $Price/BNB","Status","ErrCode","Method"
"0x26d302fa072c5de769a504616acf481bf480afd975205f8ddcc5cdb3fb35668d","14362527","1642176199","2022-01-14 16:03:19","0x80952d9ad8397be49de07d13b2bc7c4c6e91df2a","","0xc246084ea460960b33f5c7e5bfbb1569b17c0ac5","0","0","0","0.01584163","7.5572495915","490.36","","","0x60806040",""
"0x0a5c96a49ab39b72a8d72675d91200badfb38e0f20627cde91a805b0ee0dc206","14363095","1642177903","2022-01-14 16:31:43","0x80952d9ad8397be49de07d13b2bc7c4c6e91df2a","0xc246084ea460960b33f5c7e5bfbb1569b17c0ac5","","0.001","0","0.47705","0.00101598","0.484673259","490.36","","","Swap Exact ETH For Tokens",""
"0xdd64ad4044ce25072afe2368d5086ec561fdfa40beb2c3b1c28ed91068973edc","14363340","1642178638","2022-01-14 16:43:58","0x80952d9ad8397be49de07d13b2bc7c4c6e91df2a","0xc246084ea460960b33f5c7e5bfbb1569b17c0ac5","","0.001","0","0.47705","0.00094098","0.448894509","490.36","","","Swap Exact ETH For Tokens",""
"0xc2b0bb3657df61354fae861e432483dc070dc168ec2f3538f8519f9fe90c5571","14363518","1642179172","2022-01-14 16:52:52","0x80952d9ad8397be49de07d13b2bc7c4c6e91df2a","0xc246084ea460960b33f5c7e5bfbb1569b17c0ac5","","0.001","0","0.47705","0.00093364","0.445392962","490.36","","","Swap Exact ETH For Tokens",""
"0x2d8798c3a672f56d4fe6df28b93251997a7d250af03cddb2e43acc777a8f1e63","14365436","1642184926","2022-01-14 18:28:46","0x80952d9ad8397be49de07d13b2bc7c4c6e91df2a","0xc246084ea460960b33f5c7e5bfbb1569b17c0ac5","","0.001","0","0.47705","0.00094104","0.448923132","490.36","","","Swap Exact ETH For Tokens",""
"0xd810246c3f5ad62be9b20d7e088d9d5dd54de866a9ff962248df6217db52d04b","14365548","1642185262","2022-01-14 18:34:22","0x80952d9ad8397be49de07d13b2bc7c4c6e91df2a","0xc246084ea460960b33f5c7e5bfbb1569b17c0ac5","","0.001","0","0.47705","0.00094104","0.448923132","490.36","","","Swap Exact ETH For Tokens",""
"0xb388a130a69d59104bd5b82e1f7b40e1174ca79f843318886f0f7e27353a15bb","14365610","1642185448","2022-01-14 18:37:28","0x80952d9ad8397be49de07d13b2bc7c4c6e91df2a","0xc246084ea460960b33f5c7e5bfbb1569b17c0ac5","","0.001","0","0.47705","0.00094104","0.448923132","490.36","","","Swap Exact ETH For Tokens",""
"0xa5d1679f4794e404de88d2831e3071524f24618062fcfd013857c86baab5cb66","14365865","1642186213","2022-01-14 18:50:13","0x80952d9ad8397be49de07d13b2bc7c4c6e91df2a","0xc246084ea460960b33f5c7e5bfbb1569b17c0ac5","","0.001","0","0.47705","0.00094104","0.448923132","490.36","","","Swap Exact ETH For Tokens",""
"0x31445646a825786fb213648620a7b9af77e76c49de953e91efeab3443a427506","14365931","1642186411","2022-01-14 18:53:31","0x80952d9ad8397be49de07d13b2bc7c4c6e91df2a","0xc246084ea460960b33f5c7e5bfbb1569b17c0ac5","","0.001","0","0.47705","0.00094104","0.448923132","490.36","","","Swap Exact ETH For Tokens",""
"0x9057d255fada4d443fb4e7a350854aa3aa1cfce4b355211061364fb4538f96d6","14366014","1642186660","2022-01-14 18:57:40","0x80952d9ad8397be49de07d13b2bc7c4c6e91df2a","0xc246084ea460960b33f5c7e5bfbb1569b17c0ac5","","0.001","0","0.47705","0.00094104","0.448923132","490.36","","","Swap Exact ETH For Tokens",""
